x,y,z
0.0,0.0,0.0
1,24638,"310
"
2,23,"310
"
3,29,"310
"
4,27,"310
"
5,22,"310
"
5,39240,"349
"
6,22,"349
"
7,25,"349
"
8,29,"349
"
9,34,"349
"
10,22,"349
"
11,1101,"350
"
12,29,"350
"
13,24,"350
"
14,30,"350
"
15,30,"350
"
16,20,"350
"
17,523,"351
"
18,28,"351
"
19,27,"351
"
20,32,"351
"
21,28,"351
"
17,46025,"397
"
18,24,"397
"
19,21,"397
"
20,25,"397
"
21,25,"397
"
22,24,"397
"
23,21,"397
"
24,1629,"399
"
25,26,"399
"
26,26,"399
"
27,27,"399
"
28,32,"399
"
29,30,"399
"
30,938,"400
"
31,27,"400
"
32,25,"400
"
33,32,"400
"
34,27,"400
"
35,31,"400
"
36,28,"400
"
37,22,"400
"
38,27,"400
"
39,30,"400
"
40,23,"400
"
41,27,"400
"
42,31,"400
"
43,23,"400
"
44,29,"400
"
45,30,"400
"
46,34,"400
"
47,23,"400
"
48,23,"400
"
49,20,"400
"
50,18,"400
"
51,23,"400
"
52,22,"400
"
53,29,"401
"
54,33,"401
"
55,24,"401
"
56,31,"401
"
57,28,"401
"
58,27,"401
"
59,33,"401
"
60,23,"401
"
61,33,"401
"
62,27,"401
"
63,26,"401
"
64,24,"401
"
65,33,"401
"
66,34,"401
"
67,28,"401
"
68,32,"401
"
69,29,"401
"
70,27,"401
"
71,22,"401
"
72,28,"401
"
73,34,"401
"
74,26,"401
"
75,29,"401
"
76,30,"401
"
77,31,"401
"
78,26,"401
"
79,34,"401
"
80,31,"401
"
81,30,"401
"
82,30,"401
"
83,34,"401
"
84,29,"401
"
85,32,"401
"
86,34,"401
"
87,30,"402
"
88,22,"402
"
89,28,"402
"
90,30,"402
"
91,34,"402
"
92,35,"402
"
93,37,"402
"
94,26,"402
"
95,35,"402
"
96,33,"402
"
97,29,"402
"
98,23,"402
"
99,27,"402
"
100,28,"402
"
101,31,"402
"
102,25,"402
"
103,31,"402
"
104,34,"402
"
105,25,"402
"
106,25,"402
"
107,30,"402
"
108,29,"402
"
109,21,"402
"
110,34,"402
"
111,30,"402
"
112,31,"402
"
113,25,"402
"
114,29,"402
"
115,28,"402
"
116,28,"402
"
117,25,"402
"
118,30,"402
"
119,31,"402
"
120,26,"402
"
121,22,"402
"
122,24,"403
"
123,30,"403
"
124,32,"403
"
125,32,"403
"
126,30,"403
"
127,24,"403
"
128,37,"403
"
129,30,"403
"
130,32,"403
"
131,36,"403
"
132,28,"403
"
133,33,"403
"
134,25,"403
"
135,34,"403
"
136,30,"403
"
137,28,"403
"
138,32,"403
"
139,29,"403
"
140,31,"403
"
141,33,"403
"
142,28,"403
"
143,31,"403
"
144,24,"403
"
145,30,"403
"
146,26,"403
"
147,27,"403
"
148,35,"403
"
149,36,"403
"
150,27,"403
"
151,30,"403
"
152,23,"403
"
153,26,"403
"
154,31,"403
"
155,32,"404
"
156,32,"404
"
157,33,"404
"
158,32,"404
"
159,32,"404
"
160,30,"404
"
161,21,"404
"
162,33,"404
"
163,31,"404
"
164,30,"404
"
165,32,"404
"
166,25,"404
"
167,28,"404
"
168,28,"404
"
169,32,"404
"
170,30,"404
"
171,29,"404
"
172,36,"404
"
173,30,"404
"
174,30,"404
"
175,23,"404
"
176,29,"404
"
177,27,"404
"
178,28,"404
"
179,33,"404
"
180,3091,"407
"
181,31,"407
"
182,27,"407
"
183,31,"407
"
184,25,"407
"
185,29,"407
"
186,1053,"409
"
187,31,"409
"
188,36,"409
"
189,25,"409
"
190,32,"409
"
191,30,"409
"
192,23,"409
"
187,1415,"410
"
188,34,"410
"
189,35,"410
"
190,23,"410
"
191,23,"410
"
192,24,"410
"
192,31,"410
"
183,1703,"412
"
184,32,"412
"
185,34,"412
"
186,26,"412
"
187,32,"412
"
188,28,"412
"
189,784,"413
"
190,28,"413
"
191,27,"413
"
